Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
Sartori - Soave Classico DOC 2022,43,"White, Dry, Still",90% Garganega,10% Trebbiano di Soave,,,"Veneto (Soave), Italy","Tuscany/Emilia - Romagna, Italy",,,12.50%,"Excellent served as an aperitif as well as with fish based dishes, soups and fresh cheeses","Bright light yellow in colour The bouquet is both floral and fruity and the wine leaves almost saline and fruity notes on the finish Floral and harmonious, medium finishing with a lightaftertaste of bitter almonds",https://www.winelistasia.com/store/p20/Sartori_-_Soave_Classico_DOC_2022.html
Sartori - Pinot Grigio delle Venezie DOC 2023,42,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,12.00%,"Excellent aperitif. Good with antipasti, fish and grilled white meat","Golden yellow with greenish reflections Citrus fruit, white flowers and honey Refreshing taste of lemons with peach and apricot fruitiness; attractive hints of honey",https://www.winelistasia.com/store/p22/Sartori_-_Pinot_Grigio_delle_Venezie_DOC_2023.html
"Sartori - Pinot Grigio ""Arcole"" DOC 2018",52.5,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,12.00%,"Ideal as an aperitif, Soave Classico Sella matches well with a wide array of dishes, from hors d'oeuvres and fresh fish to white meats and young cheeses",Intense straw-yellow colour Fruit flavors of pear and apple with hints of lemon Fruity and fragrant. Light to medium-bodied with citrus notes and a distinct minerality,https://www.winelistasia.com/store/p24/Sartori_-_Pinot_Grigio_%22Arcole%22_DOC_2018.html
"Sartori - Soave Classico ""Sella"" DOC 2023",55,"White, Dry, Still",80% Garganega,20% Trebbiano,,,"Veneto (Soave), Italy","Tuscany/Emilia - Romagna, Italy",,,12.50%,"Ideal as an aperitif, Soave Classico Sella matches well with a wide array of dishes, from hors d'oeuvres and fresh fish to white meats and young cheeses","Straw yellow in colour with light-green hues Elegant, well-defined minerally nose with delicate notes of lemon, almonds, irises and fresh cut hay Balanced with rich fruit, brassy acids, precise succulent flavors of peach, almond skin, mineral and dried apricot",https://www.winelistasia.com/store/p25/Sartori_-_Soave_Classico_%22Sella%22_DOC_2023.html
"Sartori - Bianco Veronese ""Marani"" IGT 2022",56,"White, Dry, Still",100% Garganega (appassimento Method),,,,"Veneto (Soave), Italy",,,,13.50%,"Good with fish dishes, shellfish, pasta, risottos or vegetable tarts, eggs and soft or young cheese","Brilliant yellow-diamond Rich, tropical fruit and honey Voluptuous, aristocratic and subtle. The finish is long and well-balanced Awards: 2015 - Mundus Vini 2018 - Gold Medal",https://www.winelistasia.com/store/p26/Sartori_-_Bianco_Veronese_%22Marani%22_IGT_2022.html
"Sartori - Recioto di Soave ""Vernus"" DOC 2020",87,"White, Sweet, Still",90% Garganega,10% Trebbiano di Soave,,,"Veneto (Soave), Italy","Tuscany/Emilia - Romagna, Italy",,,13.00%,"It is especially recommended with the traditional cakes ofVerona, ìOffellaî, and ìnadalinî, the ìzaletiî ofVenice and ìzabaglioneî","Gold-straw in colour Rich, seductive bouquet of quince, apricot, and dried figs Full bodied with unctuous notes of apricots, almonds, caramel and and a hint of spice",https://www.winelistasia.com/store/p27/Sartori_-_Recioto_di_Soave_%22Vernus%22_DOC_2020.html
"Sartori - Prosecco BRUT ""Erfo"" DOC NV",45,"White, Dry, Sparkling",100% Glera,,,,"Veneto, Italy",,,,11.50%,"Perfect choice as an aperitif or as an ideal match with fish, fresh fruit and pastries","Straw yellow in colour with light-green hues Delicate fruit bouquet, reminiscent of wild apples and acacia flowers The palate is comprised of citrus, orange blossoms and stone fruits. Fresh citrus and floral notes linger on the finish",https://www.winelistasia.com/store/p29/Sartori_-_Prosecco_BRUT_%22Erfo%22_DOC_NV.html
"ColleMassari - Vermentino ""Melacce"" DOC 2024",57,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,12.50%,Pair this wine with white asparagus in bÈchamel sauce,"Straw yellow Intense notes of herbs and wildflowers deeper hints of spice and sea and closes with notes of almond Hints of melon, apricot and yellow rose followed by a piquant touch of acidity on the close Awards: 2011 - Vinum: 90 points2011 - Stephen Tanzer: 90 points2012 - Vinum: 89 points2012 - Wine Spectator: 89 points",https://www.winelistasia.com/store/p43/ColleMassari_-_Vermentino_%22Melacce%22_DOC_2024.html
"Grattamacco - Vermentino ""Bianco Bolgheri"" DOC 2022",107,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.00%,"Goes well with all fish preparations, and, for its smoothness and aroma, particularly with Tuscan antipasti, crostini and cold cuts. Also try with fricassee of veal or soft cheese","Straw yellow with quick green reflections Citrus and mineral notes characterize the olfactory impact, along with scents of wildflowers Fresh and tasty, with a considerable mineral structure. Creamy and sweet through the well measured use of oak Awards: 2012 - James Suckling: 93 points2013 - Wine Spectator: 89 points2013 - James Suckling: 91 points2013 - Vinum: 91 points",https://www.winelistasia.com/store/p48/Grattamacco_-_Vermentino_%22Bianco_Bolgheri%22_DOC_2022.html
"Terenzi - Vermentino Maremma ""Balbino"" DOC 2021",68,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.50%,"An ideal accompaniment for fish (both cooked and raw), shellfish, seafood soups and light, vegetable-based pasta recipes. Excellent as an aperitif","Deep straw yellow Hints of pears and white flowers Clean and elegant, marked floral and fruity notes. Well-balanced and refined Awards: 2011 - Wine Enthusiast Magazine: 88 points",https://www.winelistasia.com/store/p78/Terenzi_-_Vermentino_Maremma_%22Balbino%22_DOC_2021.html
