Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
Sartori - Soave Classico DOC 2022,43,"White, Dry, Still",90% Garganega,10% Trebbiano di Soave,,,"Veneto (Soave), Italy","Tuscany/Emilia-Romagna, Italy",,,12.50%,"Excellent served as an aperitif as well as with fish based dishes, soups and fresh cheeses","Category: White, Dry, StillGrapes: 90% Garganega, 10% Trebbiano di SoaveAlcohol: 12.5%Bright light yellow in colourThe bouquet is both floral and fruity and the wine leaves almost saline and fruity notes on the finishFloral and harmonious, medium finishing with a lightaftertaste of bitter almondsFood Pairing:Excellent served as an aperitif as well as with fish based dishes, soups and fresh cheeses",https://www.winelistasia.com/store/p20/Sartori_-_Soave_Classico_DOC_2022.html
Sartori - Pinot Grigio delle Venezie DOC 2023,42,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,12.00%,"Excellent aperitif. Good with antipasti, fish and grilled white meat","Category: White, Dry, StillGrapes: 100% Pinot GrigioAlcohol: 12%Golden yellow with greenish reflectionsCitrus fruit, white flowers and honeyRefreshing taste of lemons with peach and apricot fruitiness; attractive hints of honeyFood Pairing:Excellent aperitif. Good with antipasti, fish and grilled white meat",https://www.winelistasia.com/store/p22/Sartori_-_Pinot_Grigio_delle_Venezie_DOC_2023.html
"Sartori - Pinot Grigio ""Arcole"" DOC 2018",52.5,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,12.00%,"Ideal as an aperitif, Soave Classico Sella matches well with a wide array of dishes, from hors d'oeuvres and fresh fish to white meats and young cheeses","Category: White, Dry, StillGrapes: 100% Pinot GrigioAlcohol: 12%Intense straw-yellow colourFruit flavors of pear and apple with hints of lemonFruity and fragrant. Light to medium-bodied with citrus notes and a distinct mineralityFood Pairing:Ideal as an aperitif, Soave Classico Sella matches well with a wide array of dishes, from hors d'oeuvres and fresh fish to white meats and young cheeses",https://www.winelistasia.com/store/p24/Sartori_-_Pinot_Grigio_%22Arcole%22_DOC_2018.html
"Sartori - Soave Classico ""Sella"" DOC 2023",55,"White, Dry, Still",80% Garganega,20% Trebbiano,,,"Veneto (Soave), Italy","Tuscany/Emilia-Romagna, Italy",,,12.50%,"Ideal as an aperitif, Soave Classico Sella matches well with a wide array of dishes, from hors d'oeuvres and fresh fish to white meats and young cheeses","Category: White, Dry, StillGrapes: 80% Garganega, 20% TrebbianoAlcohol: 12.5%Straw yellow in colour with light-green huesElegant, well-defined minerally nose with delicate notes of lemon, almonds, irises and fresh cut hayBalanced with rich fruit, brassy acids, precise succulent flavors of peach, almond skin, mineral and dried apricotFood Pairing:Ideal as an aperitif, Soave Classico Sella matches well with a wide array of dishes, from hors d'oeuvres and fresh fish to white meats and young cheeses",https://www.winelistasia.com/store/p25/Sartori_-_Soave_Classico_%22Sella%22_DOC_2023.html
"Sartori - Bianco Veronese ""Marani"" IGT 2022",56,"White, Dry, Still",100% Garganega (appassimento Method),,,,"Veneto (Soave), Italy",,,,13.50%,"Good with fish dishes, shellfish, pasta, risottos or vegetable tarts, eggs and soft or young cheese","Category: White, Dry, StillGrapes: 100% Garganega (Appassimento Method)Alcohol: 13.5%Brilliant yellow-diamondRich, tropical fruit and honeyVoluptuous, aristocratic and subtle. The finish is long and well-balancedFood Pairing:Good with fish dishes, shellfish, pasta, risottos or vegetable tarts, eggs and soft or young cheeseAwards: 2015 - Mundus Vini 2018 - Gold Medal",https://www.winelistasia.com/store/p26/Sartori_-_Bianco_Veronese_%22Marani%22_IGT_2022.html
"Sartori - Recioto di Soave ""Vernus"" DOC 2020",87,"White, Sweet, Still",90% Garganega,10% Trebbiano di Soave,,,"Veneto (Soave), Italy","Tuscany/Emilia-Romagna, Italy",,,13.00%,"It is especially recommended with the traditional cakes ofVerona, âOffellaâ, and ânadalinâ, the âzaletiâ ofVenice and âzabaglioneâ","Category: White, Sweet, StillGrapes: 90% Garganega, 10% Trebbiano di SoaveAlcohol: 13%Gold-straw in colourRich, seductive bouquet of quince, apricot, and dried figsFull bodied with unctuous notes of apricots, almonds, caramel and and a hint of spiceFood Pairing:It is especially recommended with the traditional cakes ofVerona, âOffellaâ, and ânadalinâ, the âzaletiâ ofVenice and âzabaglioneâ",https://www.winelistasia.com/store/p27/Sartori_-_Recioto_di_Soave_%22Vernus%22_DOC_2020.html
"Sartori - Prosecco BRUT ""Erfo"" DOC NV",45,"White, Dry, Sparkling",100% Glera,,,,"Veneto, Italy",,,,11.50%,"Perfect choice as an aperitif or as an ideal match with fish, fresh fruit and pastries","Category: White, Dry, SparklingGrapes: 100% GleraAlcohol: 11.5%Straw yellow in colour with light-green huesDelicate fruit bouquet, reminiscent of wild apples and acacia flowersThe palate is comprised of citrus, orange blossoms and stone fruits. Fresh citrus and floral notes linger on the finishFood Pairing:Perfect choice as an aperitif or as an ideal match with fish, fresh fruit and pastries",https://www.winelistasia.com/store/p29/Sartori_-_Prosecco_BRUT_%22Erfo%22_DOC_NV.html
"ColleMassari - Vermentino ""Melacce"" DOC 2024",57,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,12.50%,Pair this wine with white asparagus in bÃ©chamel sauce,"Category: White, Dry, StillGrapes: 100% VermentinoAlcohol: 12.5%Straw yellowIntense notes of herbs and wildflowers deeper hints of spice and sea and closes with notes of almondHints of melon, apricot and yellow rose followed by a piquant touch of acidity on the closeFood Pairing:Pair this wine with white asparagus in bÃ©chamel sauceAwards:2011 - Vinum: 90 points2011 - Stephen Tanzer: 90 points2012 - Vinum: 89 points2012 - Wine Spectator: 89 points",https://www.winelistasia.com/store/p43/ColleMassari_-_Vermentino_%22Melacce%22_DOC_2024.html
"Grattamacco - Vermentino ""Bianco Bolgheri"" DOC 2022",107,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.00%,"Goes well with all fish preparations, and, for its smoothness and aroma, particularly with Tuscan antipasti, crostini and cold cuts. Also try with fricassee of veal or soft cheese","Category: White, Dry, StillGrapes: 100% VermentinoAlcohol: 13%Straw yellow with quick green reflectionsCitrus and mineral notes characterize the olfactory impact, along with scents of wildflowersFresh and tasty, with a considerable mineral structure. Creamy and sweet through the well measured use of oakFood Pairing:Goes well with all fish preparations, and, for its smoothness and aroma, particularly with Tuscan antipasti, crostini and cold cuts. Also try with fricassee of veal or soft cheeseAwards:2012 - James Suckling: 93 points2013 - Wine Spectator: 89 points2013 - James Suckling: 91 points2013 - Vinum: 91 points",https://www.winelistasia.com/store/p48/Grattamacco_-_Vermentino_%22Bianco_Bolgheri%22_DOC_2022.html
"Terenzi - Vermentino Maremma ""Balbino"" DOC 2021",68,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.50%,"An ideal accompaniment for fish (both cooked and raw), shellfish, seafood soups and light, vegetable-based pasta recipes. Excellent as an aperitif","Category: White, Dry, StillGrapes: 100% Vermentino Alcohol: 13.5%Deep straw yellowHints of pears and white flowersClean and elegant, marked floral and fruity notes. Well-balanced and refinedFood Pairing:An ideal accompaniment for fish (both cooked and raw), shellfish, seafood soups and light, vegetable-based pasta recipes. Excellent as an aperitifAwards:2011 - Wine Enthusiast Magazine: 88 points",https://www.winelistasia.com/store/p78/Terenzi_-_Vermentino_Maremma_%22Balbino%22_DOC_2021.html
